Country/Region,Continent,Population,TotalCases,TotalDeaths,TotalRecovered,ActiveCases,TotalTests
Argentina,South America,45236884.0,228195,4251.0,99852.0,124092.0,794544.0
Bolivia,South America,11688459.0,86423,3465.0,27373.0,55585.0,183583.0
Brazil,South America,212710692.0,2917562,98644.0,2047660.0,771258.0,13206188.0
Chile,South America,19132514.0,366671,9889.0,340168.0,16614.0,1760615.0
Colombia,South America,50936262.0,357710,11939.0,192355.0,153416.0,1801835.0
Ecuador,South America,17668824.0,90537,5877.0,71318.0,13342.0,258582.0
Falkland Islands,South America,3489.0,13,3792.590425531915,13.0,0.0,1816.0
French Guiana,South America,299385.0,8127,47.0,7240.0,840.0,41412.0
Guyana,South America,786936.0,538,22.0,189.0,327.0,5165.0
Paraguay,South America,7141091.0,6375,66.0,4974.0,1335.0,135277.0
Peru,South America,33016319.0,455409,20424.0,310337.0,124648.0,2493429.0
Suriname,South America,587154.0,2096,29.0,1446.0,621.0,2785.0
Uruguay,South America,3474956.0,1318,37.0,1079.0,202.0,126956.0
Venezuela,South America,28427499.0,22299,195.0,12146.0,9958.0,1567431.0
